	Column1	query	text_id	hit_id	left	hit	right	LABEL	AGENCY	DOMAIN	REAL_AGENCY	BENEFICIARY	letter_id	period	year_of_writing	authenticity	relation	author_name	author_gender	author_relation_to_recipient	author_year_of_birth	author_age	recip_name	recip_gender	recip_relation_to_addressee	recip_year_of_birth	recip_age	CORRESPONDENCE	DECADE	Kolom1	query_standardised
5	5	god	ALLEN_001	ALLEN_001.772_772	trewly now I know none in the world so sinistrely enformed of that wold if they could hoorte . And I impute it not to any mans dislike of our trade but rather to their ill luck and myne owne sinnes , that <P_10> having their meate and drinke and other necessaryes ( so farre as we be able and as longe as God shall send it us ) so freely proffered theime , they compt it not worth ,	God	have mercy , or accepting , namely being in miserye as som and most part pretend . And specially offering eche man to be respected according to their qualitye which taketh away all just excuses of their refusal , for I am suer they be to good and wise men to mislike order , unity , common conference . Nether was ther ever yet any man so incompatible of other mens company and society , but he hath bene	BODY	PRAYER	SOCIAL	OH DIRECT	OH	ALLEN_001	E2	1579.0	AUTOGRAPH	OTHER	WILLIAM_ALLEN	MALE	_	1532	47	RICHARD_HOPKINS	MALE	_	1546?	33?	ALLEN	1570	1.0	GOD
13	13	god	ALLEN_002	ALLEN_002.312_312	yet so to hold it ( because we well perceived the common inclination of Adam to like and whisper underhand for their owne against other of other contryes ) great moderation and dexterity was necessary I assure yow . The principall poynt was that no meddling nor mayntenance of nether side should be openly or privatly used , but every man to apply his booke and to pray for the appeacing of the tumult and specially for his Holines that	God	wold give him the spirit of wisdom and mercy that he might take the best way for the ending of the matter , and to pardon the falt of disobedience , disorder or scandale what soever , for the honour of God and perfecting of the work begon . And lest any breache might chaunce to be , ( otherwise then my coustom and somwhat agaynst my health ) I thought it necessary allwayes to be in the hall	BODY	PRAYER	RELIGION	GOD	OH	ALLEN_002	E2	1579.0	AUTOGRAPH	OTHER	WILLIAM_ALLEN	MALE	_	1532	47	OWEN_LEWIS	MALE	_	_	_	ALLEN	1570	2.0	GOD
21	21	god	ALLEN_002	ALLEN_002.1848_1848	coometh of my superiors , as they knowe not , but yow onely know ; and therfor I yelded not in any wise to their motion , lest his Holines or Como might be offended , as yow I dare say thinke allso : at the least I dare not hazard it . And perhappes the students , or other rather , wold thinke I wold wholy be ledde away from theime by the great familiarity betwixt us ; but	God	so love me as I feele no inclination of partiality ether on your part for the great benefite and comforts which I have had at your handes , nether towards their part for conjunction of country or name of Englishe , or for <P_16> bloodde or such like : as partly yow may see by my playness in this letter , but I only seeke the honour of God , and the necessary attonement of all sicke mynds ,	BODY	PRAYER	RELIGION	GOD	WRITER	ALLEN_002	E2	1579.0	AUTOGRAPH	OTHER	WILLIAM_ALLEN	MALE	_	1532	47	OWEN_LEWIS	MALE	_	_	_	ALLEN	1570	2.0	GOD
29	29	god	ALLEN_002	ALLEN_002.2376_2376	country . The great talke of Monsieurs mariage with our queene is on slate still . Mr. {ED:Thomas} Pownde brother to the priest ther is in yrons still for his faith , and hath answered stoutly , that who soever denyeth the Popes holines to be heade of the Churche of England as well as all other churches Christian , that he is an heretike . Som thinke that he shall suffer or at least fall into the premunire .	God	comfort him and all his fellowes . I wrote your mynd to the Deane touching the woman in your howse : but if he writeth to me agayne Salvo meliori juditio non esset dimitanda , cum honestissime se gerat , et optime servet res et praecipue frumentum : cum etiam inveniri non potest aliquis subditus ecclesiae qui vult accipere curam domus et omnium rerum , nisi esset certus de habitatione ibidem per longiorem terminum , quam expedit promittere .	BODY	PRAYER	RELIGION	GOD	OH	ALLEN_002	E2	1579.0	AUTOGRAPH	OTHER	WILLIAM_ALLEN	MALE	_	1532	47	OWEN_LEWIS	MALE	_	_	_	ALLEN	1570	2.0	GOD
64	84800	god	PASTON_273	PASTON_273.547_547	lese that and meche mo . Than I sayde be that meane in defawte of a shereff every man may be put from hese lyvelod ; and than he seyde iff it were for the lyvelode men wold take hem the nerer for to abyde a joporte` ; but be hese feyth , as he swore , if the Kyng wryte a-yen to hym he wol no lenger abyde the joporte` of the Kyngges wrytynges , but he trustyth to	Godde	to in-panell seche men as shuln to hese knowleche be indeferent and non comon jurours . As me semyth it wold do goode and ye wold gete a comaundment of the Kyng to the shereff for to shew yow favour and to inpanell jantelmen , and not for to favour non seche ryottes , &c. ; for he seyde that he sent yow the letter +tat the Kyng sent hym , and ye seyde a man shuld gete seche	BODY	CONFIDENCE	POLITICS	0	0	PASTON_273	M4	1451.0	AUTOGRAPH	FAMILY_SERVANT	JOHN_OSBERN	MALE	FAMILY_SERVANT	_	_	JOHN_PASTON_I	MALE	_	1421	30	PASTON	1450	273.0	GOD
81	86917	god	SIGNET_004	SIGNET_004.183_183	wilfully do fro day to day . yn greet disese and preiudice of +te forseide Priour and Couent . but if remede couenable be ordeined +ter vppon . Wharfor we wol if it so be . and charge you expressely +tat ye cesse of al suche manere newe and wilfulle gouernance yn +te matire forsaide . and conforme yn to +te gode custume of olde tyme vsed and continued here a fore . vnto oure comyng with +te grace of	god	ynto our Realme of Englond . +tat we may haue ful knowloche of +te matire and to ordeine suche remede +ter vppon as we shal be +tan auised . by wey of trouthe and of right . Yeuen vnder our signet at oure towne of Caen +te xxiij. day of Septembre 	BODY	DIVINE APPROVAL	TRAVEL	0	0	SIGNET_004	M3	1417.0	COPY	OTHER	HENRY_V_SIGNET[CHANCERY1]	MALE	_	_	_	PRIVY_COUNCIL	MALE	_	_	_	SIGNET	1410	5.0	GOD
83	83	god	ARUNDEL_020	ARUNDEL_020.213_213	knowe not what I shall doe , but I hope it will be by my Lo: of Shrew:=s= meanes to Mr Fanshawe , w=ch= is much fitter than my beinge seene in it . I have not yet seene Mr Pettie , nor heard any more of the businesse , then what Mr Lake wrote to me from Highgate . Wee heare the Queene meetes the Kinge at Whitehalle . My Lo: Abergavenyes sonnes drowndinge {ED:SIC} is strange newes ,	God	blesse us all . Mr Secretary wrote unto me this day , that he founde my Lo: of Shrewsbury ill still , w=ch= I am exceedinge sorry for , and that my Lo: of Roxboroughes childe is mended , w=ch= I am gladde to heare . He writes unto me wee shall not see him before Thursday at Theobaldes , I am sory he will miss the Cambridge Play on Tuesday , at Royston , but soryer for wantinge	BODY	PRAYER	SOCIAL	GOD	WRITER AND OH	ARUNDEL_020	E2	1616.0	AUTOGRAPH	FAMILY_NUCLEAR	THOMAS_HOWARD_III	MALE	SON	1585	31	ANNE_HOWARD[N.DACRE]	FEMALE	MOTHER	1553?	63?	ARUNDEL	1610	20.0	GOD
99	105	god	ARUNDEL_037	ARUNDEL_037.153_153	him , are very sensible of y=r= kindnes therein ; and I must intreat y=r= Lo=p= to excuse him if he want courtshippe , especially nowe , when his desire to shew his love to me and my House , I make accounte takes up his whole time . As y=r= Lo=p= writes , I thinke he is fittely composed to be a searcher of thinges of that nature , w=ch= he hath now putte himselfe unto . I pray	God	his successe may proove aunswerable unto his good will and paynes ; and I doe earnestly intreate y=r= Lo=p= to continewe to assiste him w=th= y=r= favor , in procuringe com~andes and such thinges as he shall be a suitor unto y=u= for ; and as he directes all his labor of collectinge for this House alone , w=ch= I must never thinke to breake , but keep entire , soe I shall very thankefully accepte y=r= Lo=ps= kinde	BODY	PRAYER	SOCIAL	OH INDIRECT	OH	ARUNDEL_037	E2	1626.0	AUTOGRAPH	OTHER	THOMAS_HOWARD_III	MALE	_	1585	41	THOMAS_ROE	MALE	_	1581	45	ARUNDEL	1620	38.0	GOD
162	86595	god	SHILLIN_003	SHILLIN_003.2231_2231	"y proved . My lorde seide that as touchynge the settynge we were alle most accordyd theryn . Then seide Hengston lightly as touchynge settynge and kepyng of the mony of the deme , hit shall be sone answered ; he menyng of Upton is tyme y wote right well , as y seide to yow at home . Y seyde to Hengston as lightly ayen , "" As sone hit sholde be repplied and truly with the grace of"	god	". "" Then my lord asked furste of that other party if they hadde full auctorite and power and wolde consente to menys : and they seide anone with <P_14> gode wille , yee for theire part . My lorde asked of me , Maier , if we wolde the same . Y seide as touchyng the power we hadde sufficiant and y nogh ; as touchyng to menys , y bisoghte hym of his lordship that y myght"	BODY	DIVINE APPROVAL	COMMUNICATION	0	0	SHILLIN_003	M4	1447.0	AUTOGRAPH	OTHER	JOHN_SHILLINGFORD	MALE	_	_	_	NAMES_UNKNOWN_1	MALE	_	_	_	SHILLIN	1440	3.0	GOD
179	189	god	ARUNDEL_066	ARUNDEL_066.67_67	Good Mr Secretary All I can write from here is that ( God be thanked ) the Kinge and <P_412> all his servantes are in good health . If the Covenanters sweepe all before them in Scotland , w=th= a most high strayne of disobedience , wee hope my lo: of Essex his goinge , and Sir Jacob Astleyes , will prevente theyre entringe Barwicke , w=ch=	God	Graunte . We are heere , in private be it spoken , w=th=out Sir William Udale , or soe much as one penny of mony till he come : howe much then , God knowes , whome I beseech to order all for y=e= beste ; and send y=u= all happines as is wished by Y=r= Honors most faithfull frende Arundell & Surrey . Yorke 31 Aprill {ED:SIC} 1639 . Windebank these . London . 	BODY	PRAYER	WARFARE	OH INDIRECT	WRITER AND OH	ARUNDEL_066	E2	1639.0	AUTOGRAPH	OTHER	THOMAS_HOWARD_III	MALE	_	1585	54	FRANCIS_WINDEBANK	MALE	_	1582	57	ARUNDEL	1630	66.0	GOD
